#,접수번호,접수일자,검체유형_x,시설명,시료명_x,의뢰기관,의뢰자_x,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소_x,처리기간,처리일,수수료,항목수_x,번호,채취장소_y,의뢰자_y,검체유형_y,시료명_y,접수일,항목수_y,폼알데하이드,PM10,PM2.5,CO2,부유세균,라돈,라돈(밀폐),벤젠,톨루엔,에틸벤젠,자일렌,스틸렌,일산화탄소,염화수소,암모니아,시안화수소,페놀화합물,크롬화합물,먼지,구리화합물,질소산화물,수은화합물,카드뮴화합물,황화수소,니켈및그화합물,포름알데히드,불소화합물,아연화합물,매연,비소화합물,유류 중 황함유량,철화합물,트리클로로에틸렌,아크릴로니트릴,"1,2-Dichlorethane",Carbon tetrachloride,테트라클로로에틸렌,클로로포름,황산화물,이황화탄소,총탄화수소,납화합물
,2792400072-01,2024-03-25,실내공기질/실내공기질/가,메가박스 양주,9층 홀,양주시,양주시장,,결과승인완료,0,,,,,2024-04-08,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-4894,2024-04-08,2024-04-08,대기환경팀(B),김지영,,,,,영화상영관,경기도 양주시 부흥로 1533,,,,2024-03-25,경기 양주시 고읍남로 6-6 (광사동),12,2024-04-09,0,4,123,경기 양주시 고읍남로 6-6 (광사동),양주시장,실내공기질/실내공기질/가,9층 홀,03-25,4/4,3.0,15.9,9.6,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400072-02,2024-03-25,실내공기질/실내공기질/가,메가박스 양주,10층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-08,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-4894,2024-04-08,2024-04-08,대기환경팀(B),김지영,,,,,영화상영관,경기도 양주시 부흥로 1533,,,,2024-03-25,경기 양주시 고읍남로 6-6 (광사동),12,2024-04-09,0,4,124,경기 양주시 고읍남로 6-6 (광사동),양주시장,실내공기질/실내공기질/가,10층 복도,03-25,4/4,2.9,11.6,8.4,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400073-01,2024-03-27,실내공기질/실내공기질/나,별빛아이어린이집,1층 나눔반,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,어린이집,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 독바위로300번길 12 A동(옥정동),12,2024-04-12,0,5,125,경기 양주시 독바위로300번길 12 A동(옥정동),양주시장,실내공기질/실내공기질/나,1층 나눔반,03-27,5/5,4.1,23.0,11.1,462.0,764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400073-02,2024-03-27,실내공기질/실내공기질/나,별빛아이어린이집,4층 강당,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,어린이집,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 독바위로300번길 12 A동(옥정동),12,2024-04-12,0,5,126,경기 양주시 독바위로300번길 12 A동(옥정동),양주시장,실내공기질/실내공기질/나,4층 강당,03-27,5/5,4.6,17.6,11.7,454.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400074-01,2024-03-27,실내공기질/실내공기질/나,서울대효요양병원,5층 로비,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,의료기관,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,12,2024-04-12,0,5,127,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,양주시장,실내공기질/실내공기질/나,5층 로비,03-27,5/5,6.1,25.9,18.1,819.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400074-02,2024-03-27,실내공기질/실내공기질/나,서울대효요양병원,6층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,의료기관,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,12,2024-04-12,0,5,128,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,양주시장,실내공기질/실내공기질/나,6층 복도,03-27,5/5,6.5,40.7,27.7,517.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400075-01,2024-03-27,실내공기질/실내공기질/나,성신요양원,1층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-12,관원,,,부적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5098,2024-04-12,2024-04-12,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 양주산성로49번길 54 (남방동),12,2024-04-12,0,5,129,경기 양주시 양주산성로49번길 54 (남방동),양주시장,실내공기질/실내공기질/나,1층 복도,03-27,5/5,11.8,24.6,14.0,787.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400075-02,2024-03-27,실내공기질/실내공기질/나,성신요양원,2층 복도,양주시,양주시장,,결과승인완료,1,이산화탄소,,,,2024-04-12,관원,,,부적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5098,2024-04-12,2024-04-12,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 양주산성로49번길 54 (남방동),12,2024-04-12,0,5,130,경기 양주시 양주산성로49번길 54 (남방동),양주시장,실내공기질/실내공기질/나,2층 복도,03-27,5/5,16.8,26.2,14.3,1213.0,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400076-01,2024-03-27,실내공기질/실내공기질/나,서진요양원,1층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 원학로147번길 53 에이동(광사동),12,2024-04-12,0,5,131,경기 양주시 원학로147번길 53 에이동(광사동),양주시장,실내공기질/실내공기질/나,1층 복도,03-27,5/5,10.0,13.1,8.6,617.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400076-02,2024-03-27,실내공기질/실내공기질/나,서진요양원,2층 물리치료실,양주시,양주시장,,결과승인완료,1,이산화탄소,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 원학로147번길 53 에이동(광사동),12,2024-04-12,0,5,132,경기 양주시 원학로147번길 53 에이동(광사동),양주시장,실내공기질/실내공기질/나,2층 물리치료실,03-27,5/5,40.5,15.4,10.2,1033.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400079-01,2024-04-01,실내공기질/실내공기질/나,윤서병원,1층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 건원대로 47 (인창동),12,2024-04-17,0,5,138,경기 구리시 건원대로 47 (인창동),구리시장,실내공기질/실내공기질/나,1층 로비,04-01,5/5,6.6,22.6,9.2,806.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400079-02,2024-04-01,실내공기질/실내공기질/나,윤서병원,2층 물리치료실,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 건원대로 47 (인창동),12,2024-04-17,0,5,139,경기 구리시 건원대로 47 (인창동),구리시장,실내공기질/실내공기질/나,2층 물리치료실,04-01,5/5,14.3,21.3,6.9,945.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400080-01,2024-04-01,실내공기질/실내공기질/나,좋은아침병원,1층 로비,구리시,구리시장,,결과승인완료,2,"이산화탄소,총부유세균",,,,2024-04-15,관원,,,부적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로 144 (교문동),12,2024-04-17,0,5,140,경기 구리시 경춘로 144 (교문동),구리시장,실내공기질/실내공기질/나,1층 로비,04-01,5/5,7.7,28.0,9.1,1003.0,913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400080-02,2024-04-01,실내공기질/실내공기질/나,좋은아침병원,5층 복도,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,부적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로 144 (교문동),12,2024-04-17,0,5,141,경기 구리시 경춘로 144 (교문동),구리시장,실내공기질/실내공기질/나,5층 복도,04-01,5/5,8.1,11.9,6.5,857.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400081-01,2024-04-01,실내공기질/실내공기질/나,율치한방병원,6F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 체육관로 163 (교문동),12,2024-04-17,0,5,142,경기 구리시 체육관로 163 (교문동),구리시장,실내공기질/실내공기질/나,6F 로비,04-01,5/5,6.2,11.4,8.2,575.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400081-02,2024-04-01,실내공기질/실내공기질/나,율치한방병원,7F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 체육관로 163 (교문동),12,2024-04-17,0,5,143,경기 구리시 체육관로 163 (교문동),구리시장,실내공기질/실내공기질/나,7F 로비,04-01,5/5,6.9,30.8,8.9,614.0,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400083-01,2024-04-01,실내공기질/실내공기질/나,리체한방병원,1F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료시설,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로162번길 26 (교문동),12,2024-04-17,0,5,145,경기 구리시 경춘로162번길 26 (교문동),구리시장,실내공기질/실내공기질/나,1F 로비,04-01,5/5,12.7,17.7,8.9,692.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400083-02,2024-04-01,실내공기질/실내공기질/나,리체한방병원,3F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료시설,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로162번길 26 (교문동),12,2024-04-17,0,5,146,경기 구리시 경춘로162번길 26 (교문동),구리시장,실내공기질/실내공기질/나,3F 로비,04-01,5/5,9.5,14.6,12.5,657.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400085-01,2024-04-03,실내공기질/실내공기질/나,구리한빛요양병원,3층 치료실,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5413,2024-04-18,2024-04-17,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 검배로 42 (수택동),12,2024-04-19,0,5,148,경기 구리시 검배로 42 (수택동),구리시장,실내공기질/실내공기질/나,3층 치료실,04-03,5/5,22.8,19.9,10.2,708.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400085-02,2024-04-03,실내공기질/실내공기질/나,구리한빛요양병원,4층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5413,2024-04-18,2024-04-17,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 검배로 42 (수택동),12,2024-04-19,0,5,149,경기 구리시 검배로 42 (수택동),구리시장,실내공기질/실내공기질/나,4층 로비,04-03,5/5,22.5,22.6,5.3,750.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400086-01,2024-04-03,실내공기질/실내공기질/나,리베산후조리원 구리점,3층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,산후조리원,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 벌말로 145 (토평동) 3층,12,2024-04-19,0,5,150,경기 구리시 벌말로 145 (토평동) 3층,구리시장,실내공기질/실내공기질/나,3층 로비,04-03,5/5,18.9,11.9,8.7,667.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400086-02,2024-04-03,실내공기질/실내공기질/나,리베산후조리원 구리점,3층 복도,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,산후조리원,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 벌말로 145 (토평동) 3층,12,2024-04-19,0,5,151,경기 구리시 벌말로 145 (토평동) 3층,구리시장,실내공기질/실내공기질/나,3층 복도,04-03,5/5,20.5,13.3,8.3,837.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400087-01,2024-04-03,실내공기질/실내공기질/나,효사랑 요양원,1F 로비,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 동구릉로460번길 8 (사노동),12,2024-04-19,0,5,152,경기 구리시 동구릉로460번길 8 (사노동),구리시장,실내공기질/실내공기질/나,1F 로비,04-03,5/5,7.7,18.8,12.5,911.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400087-02,2024-04-03,실내공기질/실내공기질/나,효사랑 요양원,4F 생활실,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 동구릉로460번길 8 (사노동),12,2024-04-19,0,5,153,경기 구리시 동구릉로460번길 8 (사노동),구리시장,실내공기질/실내공기질/나,4F 생활실,04-03,5/5,9.3,28.8,9.2,424.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400088-01,2024-04-03,실내공기질/실내공기질/나,축복의 향기 요양원,A동 1F 로비,의정부시,의정부시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경관리과-1524,2024-01-19,경기도보건환경연구원북부지원-5350,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기 의정부시 호국로1049번길 39 (가능동),,,,2024-04-03,경기 의정부시 송산로939번길 79 (산곡동),12,2024-04-19,0,5,154,경기 의정부시 송산로939번길 79 (산곡동),의정부시장,실내공기질/실내공기질/나,A동 1F 로비,04-03,5/5,12.9,12.7,6.2,889.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400088-02,2024-04-03,실내공기질/실내공기질/나,축복의 향기 요양원,C동 1F 로비,의정부시,의정부시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경관리과-1524,2024-01-19,경기도보건환경연구원북부지원-5350,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기 의정부시 호국로1049번길 39 (가능동),,,,2024-04-03,경기 의정부시 송산로939번길 79 (산곡동),12,2024-04-19,0,5,155,경기 의정부시 송산로939번길 79 (산곡동),의정부시장,실내공기질/실내공기질/나,C동 1F 로비,04-03,5/5,20.0,28.8,18.3,591.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-01,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,611호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8,156,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,611호,04-02,8/8,9.3,,,,,,136.0,불검출,267.42,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-02,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,612호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8,157,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,612호,04-02,8/8,5.9,,,,,,71.9,불검출,124.68,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-03,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,910호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9,158,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,910호,04-02,9/9,11.4,,,,,,192.0,불검출,290.39,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-04,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,911호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9,159,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,911호,04-02,9/9,11.8,,,,,,220.0,불검출,145.1,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-05,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,912호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9,160,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,912호,04-02,9/9,10.0,,,,,,203.0,불검출,45.29,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-06,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,1211호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8,161,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,1211호,04-02,8/8,5.0,,,,,,79.7,불검출,96.92,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400089-07,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,1212호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8,162,경기 남양주시 다산동 6056 ,남양주시장,실내공기질/실내공기질/신축공동주택,1212호,04-02,8/8,8.6,,,,,,42.6,불검출,97.89,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400091-01,2024-04-08,실내공기질/실내공기질/나,범문의료재단 진요양병원,3층 구검진실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,의료기관,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 송우로 80,12,2024-04-24,0,5,166,경기 포천시 소흘읍 송우로 80 ,포천시장,실내공기질/실내공기질/나,3층 구검진실,04-08,5/5,10.4,24.6,16.8,894.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400091-02,2024-04-08,실내공기질/실내공기질/나,범문의료재단 진요양병원,4층 휴게실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,의료기관,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 송우로 80,12,2024-04-24,0,5,167,경기 포천시 소흘읍 송우로 80 ,포천시장,실내공기질/실내공기질/나,4층 휴게실,04-08,5/5,8.7,38.9,13.1,676.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400092-01,2024-04-08,실내공기질/실내공기질/나,신광새싹어린이집,1층 가람반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 화합로264번길 73,12,2024-04-24,0,5,168,경기 포천시 소흘읍 화합로264번길 73 ,포천시장,실내공기질/실내공기질/나,1층 가람반,04-08,5/5,16.2,37.8,25.4,515.0,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400092-02,2024-04-08,실내공기질/실내공기질/나,신광새싹어린이집,2층 산들반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 화합로264번길 73,12,2024-04-24,0,5,169,경기 포천시 소흘읍 화합로264번길 73 ,포천시장,실내공기질/실내공기질/나,2층 산들반,04-08,5/5,20.3,41.3,16.8,614.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400093-01,2024-04-08,실내공기질/실내공기질/나,원암어린이집,1F 샘물반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 소흘읍 송선로 67,12,2024-04-24,0,5,170,경기 포천시 소흘읍 송선로 67 ,포천시장,실내공기질/실내공기질/나,1F 샘물반,04-08,5/5,19.1,20.9,16.5,683.0,508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400093-02,2024-04-08,실내공기질/실내공기질/나,원암어린이집,1F 별님반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 소흘읍 송선로 67,12,2024-04-24,0,5,171,경기 포천시 소흘읍 송선로 67 ,포천시장,실내공기질/실내공기질/나,1F 별님반,04-08,5/5,12.7,20.3,11.2,572.0,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400094-01,2024-04-08,실내공기질/실내공기질/나,짐랜드 어린이집,1F 로비,포천시,포천시장,,결과승인완료,1,총부유세균,,,,2024-04-22,관원,,,부적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 송선로 203 (설운동),12,2024-04-24,0,5,172,경기 포천시 송선로 203 (설운동),포천시장,실내공기질/실내공기질/나,1F 로비,04-08,5/5,21.7,41.6,28.8,620.0,1547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
